example_id                                                         | status | run_time        |
./spec/models/content/document_spec.rb[1:1:1]                      | passed | 0.01984 seconds |
./spec/models/content/document_spec.rb[1:1:2]                      | passed | 0.01786 seconds |
./spec/models/content/document_spec.rb[1:1:3]                      | passed | 0.0159 seconds  |
./spec/models/content/document_spec.rb[1:1:4]                      | passed | 0.01507 seconds |
./spec/models/content/document_spec.rb[1:1:5]                      | passed | 0.01715 seconds |
./spec/models/content/document_spec.rb[1:2:1]                      | passed | 0.01699 seconds |
./spec/models/content/document_spec.rb[1:2:2]                      | passed | 0.01643 seconds |
./spec/models/content/document_spec.rb[1:2:3]                      | passed | 0.02217 seconds |
./spec/models/content/document_spec.rb[1:2:4]                      | passed | 0.01436 seconds |
./spec/models/content/document_spec.rb[1:2:5]                      | passed | 0.01584 seconds |
./spec/models/content/document_spec.rb[1:2:6]                      | passed | 0.01486 seconds |
./spec/models/content/document_spec.rb[1:2:7]                      | passed | 0.01792 seconds |
./spec/models/content/document_spec.rb[1:2:8]                      | passed | 0.01535 seconds |
./spec/models/content/document_spec.rb[1:3:1]                      | passed | 0.0362 seconds  |
./spec/models/content/document_spec.rb[1:3:2]                      | passed | 0.03852 seconds |
./spec/models/content/document_spec.rb[1:4:1]                      | passed | 0.01918 seconds |
./spec/models/content/document_spec.rb[1:4:2]                      | passed | 0.02743 seconds |
./spec/models/content/document_spec.rb[1:4:3]                      | passed | 0.03297 seconds |
./spec/models/content/document_spec.rb[1:4:4]                      | passed | 0.02884 seconds |
./spec/models/content/document_spec.rb[1:5:1]                      | passed | 0.03216 seconds |
./spec/models/content/document_spec.rb[1:5:2]                      | passed | 0.03831 seconds |
./spec/models/content/document_spec.rb[1:5:3]                      | passed | 0.03779 seconds |
./spec/models/content/document_spec.rb[1:5:4]                      | passed | 0.04124 seconds |
./spec/models/content/document_spec.rb[1:6:1:1]                    | passed | 0.03336 seconds |
./spec/models/content/document_spec.rb[1:6:1:2]                    | passed | 0.04253 seconds |
./spec/models/content/document_spec.rb[1:6:1:3]                    | passed | 0.03111 seconds |
./spec/models/content/document_spec.rb[1:6:2:1]                    | passed | 0.03523 seconds |
./spec/models/content/document_spec.rb[1:6:2:2]                    | passed | 0.03959 seconds |
./spec/models/content/document_spec.rb[1:6:3:1]                    | passed | 0.0289 seconds  |
./spec/models/content/document_spec.rb[1:6:3:2]                    | passed | 0.01782 seconds |
./spec/models/content/document_spec.rb[1:6:4:1]                    | passed | 0.03007 seconds |
./spec/models/content/document_spec.rb[1:6:4:2]                    | passed | 0.03554 seconds |
./spec/models/content/document_spec.rb[1:6:4:3]                    | passed | 0.02465 seconds |
./spec/models/content/document_spec.rb[1:7:1:1]                    | passed | 0.02363 seconds |
./spec/models/content/document_spec.rb[1:7:1:2]                    | passed | 0.02553 seconds |
./spec/models/content/document_spec.rb[1:7:2:1]                    | passed | 0.02385 seconds |
./spec/models/content/document_spec.rb[1:7:2:2]                    | passed | 0.03872 seconds |
./spec/models/content/document_spec.rb[1:7:2:3]                    | passed | 0.02301 seconds |
./spec/models/content/document_spec.rb[1:8:1]                      | passed | 0.0376 seconds  |
./spec/models/content/document_spec.rb[1:8:2]                      | passed | 0.03986 seconds |
./spec/models/content/document_spec.rb[1:8:3]                      | passed | 0.03653 seconds |
./spec/models/content/document_spec.rb[1:9:1]                      | passed | 0.02468 seconds |
./spec/models/content/document_spec.rb[1:9:2]                      | passed | 0.02852 seconds |
./spec/models/content/document_spec.rb[1:10:1]                     | passed | 0.02288 seconds |
./spec/models/content/document_spec.rb[1:10:2]                     | passed | 0.03353 seconds |
./spec/models/content/document_spec.rb[1:10:3]                     | passed | 0.03331 seconds |
./spec/models/content/document_spec.rb[1:10:4]                     | passed | 0.03883 seconds |
./spec/models/content/document_spec.rb[1:10:5]                     | passed | 0.03921 seconds |
./spec/models/content/document_spec.rb[1:11:1]                     | passed | 0.05234 seconds |
./spec/models/content/document_spec.rb[1:12:1]                     | passed | 0.05153 seconds |
./spec/models/content/document_version_spec.rb[1:1:1]              | passed | 0.01724 seconds |
./spec/models/content/document_version_spec.rb[1:1:2]              | passed | 0.02631 seconds |
./spec/models/content/document_version_spec.rb[1:1:3]              | passed | 0.0168 seconds  |
./spec/models/content/document_version_spec.rb[1:1:4]              | passed | 0.01907 seconds |
./spec/models/content/document_version_spec.rb[1:1:5]              | passed | 0.01647 seconds |
./spec/models/content/document_version_spec.rb[1:2:1]              | passed | 0.01285 seconds |
./spec/models/content/document_version_spec.rb[1:2:2]              | passed | 0.01378 seconds |
./spec/models/content/document_version_spec.rb[1:2:3]              | passed | 0.01543 seconds |
./spec/models/content/document_version_spec.rb[1:2:4]              | passed | 0.01363 seconds |
./spec/models/content/document_version_spec.rb[1:3:1]              | passed | 0.02976 seconds |
./spec/models/content/document_version_spec.rb[1:3:2]              | passed | 0.02923 seconds |
./spec/models/content/document_version_spec.rb[1:3:3]              | passed | 0.02943 seconds |
./spec/models/content/document_version_spec.rb[1:3:4]              | passed | 0.02713 seconds |
./spec/models/content/document_version_spec.rb[1:3:5]              | passed | 0.02776 seconds |
./spec/models/content/document_version_spec.rb[1:3:6]              | passed | 0.02276 seconds |
./spec/models/content/document_version_spec.rb[1:4:1]              | passed | 0.0487 seconds  |
./spec/models/content/document_version_spec.rb[1:4:2]              | passed | 0.02999 seconds |
./spec/models/content/document_version_spec.rb[1:5:1]              | passed | 0.02731 seconds |
./spec/models/content/document_version_spec.rb[1:5:2]              | passed | 0.03604 seconds |
./spec/models/content/document_version_spec.rb[1:6:1]              | passed | 0.02766 seconds |
./spec/models/content/document_version_spec.rb[1:6:2]              | passed | 0.03272 seconds |
./spec/models/content/document_version_spec.rb[1:7:1]              | passed | 0.03228 seconds |
./spec/models/content/document_version_spec.rb[1:7:2]              | passed | 0.03232 seconds |
./spec/models/content/document_version_spec.rb[1:8:1]              | passed | 0.02675 seconds |
./spec/models/content/document_version_spec.rb[1:8:2]              | passed | 0.0357 seconds  |
./spec/models/content/document_version_spec.rb[1:9:1]              | passed | 0.02712 seconds |
./spec/models/content/document_version_spec.rb[1:9:2]              | passed | 0.02949 seconds |
./spec/models/content/document_version_spec.rb[1:9:3]              | passed | 0.03018 seconds |
./spec/models/content/document_version_spec.rb[1:10:1]             | passed | 0.02516 seconds |
./spec/models/content/folder_spec.rb[1:1:1]                        | passed | 0.0182 seconds  |
./spec/models/content/folder_spec.rb[1:1:2]                        | passed | 0.01536 seconds |
